sms,label,Spam/NonSpam,Word_length,preprocessed_text
"No calls..messages..missed calls
",0,Non Spam,3,callsmessagesmiss
"Didn't you get hep b immunisation in nigeria.
",0,Non Spam,8,didnt hep immunis nigeria
"Fair enough, anything going on?
",0,Non Spam,5,fair anyth
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit
",0,Non Spam,14,yeah hope tyler mayb bit
"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
",0,Non Spam,30,dont stubborn didnt hospit mark weak sucker hospit weak sucker
"What you thinked about me. First time you saw me in class.
",0,Non Spam,12,time class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
",0,Non Spam,23,gram usual <> half eighth smarter gram <>
"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
",0,Non Spam,16,fyi ha ride earli tomorrow morn crash place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
",0,Non Spam,55,wow realiz embarass accomod thought sinc alway happi cave sorri didnt dont sorri offer sorri room embarass
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
",1,Spam,22,sptv jersey devil detroit red wing play ice hockey correct incorrect repli sptv
"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
",0,Non Spam,13,mallika sherawat yesterday <url>
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
",1,Spam,27,congrat <number> year special cinema pass <number> <phone> suprman matrix starwar <number> free bxipw dont
"Sorry, I'll call later in meeting.
",0,Non Spam,6,sorri ill meet
"Tell where you reached
",0,Non Spam,4,reach
"Yes..gauti and sehwag out of odi series.
",0,Non Spam,7,yesgauti sehwag odi seri
"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
",0,Non Spam,23,gonna pick <cur><number> burger pain kill
"Ha ha ha good joke. Girls are situation seekers.
",0,Non Spam,9,ha ha ha good joke girl situat seeker
"Its a part of checking IQ
",0,Non Spam,6,check
"Sorry my roommates took forever, it ok if I come by now?
",0,Non Spam,12,sorri roommat forev
"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
",0,Non Spam,24,lar doubl check wif hair dresser alreadi wun cut short cut nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
",1,Spam,28,valu custom pleas advis follow review mob award <cur><number> bonu prize <phone>
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",0,Non Spam,23,today song dedic day song dedic send thi valuabl frnd rpli
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
",1,Spam,22,urgent award complimentari trip eurodisinc trav acoentri <cur><number> claim txt <number> <number>+<number><cur><number>morefrmmob shracomorsglsuplt<number>
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!
",1,Spam,15,hear divorc barbi ken stuff
"I plane to give on this month end.
",0,Non Spam,8,plane thi month
"Wah lucky man... Then can save money... Hee...
",0,Non Spam,8,wah lucki man save money hee
"Finished class where are you.
",0,Non Spam,5,finish class
"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
",0,Non Spam,10,babe wanna someth
"K..k:)where are you?how did you performed?
",0,Non Spam,6,kkwhere youhow perform
"U can call me now...
",0,Non Spam,5,
"I am waiting machan. Call me once you free.
",0,Non Spam,9,wait machan onc free
"Thats cool. i am a gentleman and will treat you with dignity and respect.
",0,Non Spam,14,cool gentleman treat digniti respect
"I like you peoples very much:) but am very shy pa.
",0,Non Spam,11,peopl veri veri shi pa
"Does not operate after  &lt;#&gt;  or what
",0,Non Spam,7,doe oper <>
"Its not the same here. Still looking for a job. How much do Ta's earn there.
",0,Non Spam,16,job ta earn
"Sorry, I'll call later
",0,Non Spam,4,sorri ill
"K. Did you call me just now ah? 
",0,Non Spam,8,
"Ok i am on the way to home hi hi
",0,Non Spam,10,
"You will be in the place of that man
",0,Non Spam,9,place man
"Yup next stop.
",0,Non Spam,3,yup
"I call you later, don't have network. If urgnt, sms me.
",0,Non Spam,11,dont network urgnt
"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
",0,Non Spam,26,real yo onli <number> ticket jacket alreadi multi
"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
",0,Non Spam,31,ye start send request pain bed doubl coin factori gotta cash nitro
"I'm really not up to it still tonight babe
",0,Non Spam,9,realli tonight babe
"Ela kano.,il download, come wen ur free..
",0,Non Spam,7,ela kanoil download wen free
"Yeah do! Don‘t stand to close tho- you‘ll catch something!
",0,Non Spam,10,yeah dont stand close tho youll catch someth
"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
",0,Non Spam,39,sorri pain meet anoth night spent late afternoon casualti havent ani stuffmoro includ time sheet sorri
"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
",0,Non Spam,26,smile pleasur smile pain smile troubl pour rain smile sum hurt smile becoz someon love smile
"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
",1,Spam,23,pleas custom servic repres <phone> ampm guarante <cur><number> cash <cur><number> prize
"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
",0,Non Spam,20,havent plan buy check alreadi lido onli <number> afternoon finish work alreadi
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
",1,Spam,29,free rington wait collect simpli text password mix <number> verifi usher britney fml box <number> mk ppw <number>
"Watching telugu movie..wat abt u?
",0,Non Spam,5,watch telugu moviewat abt
"i see. When we finish we have loads of loans to pay
",0,Non Spam,12,finish load loan pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
",0,Non Spam,38,wk hol ye bit forgot hairdress appoint shower doe caus prob
"I see a cup of coffee animation
",0,Non Spam,7,cup coffe anim
"Please don't text me anymore. I have nothing else to say.
",0,Non Spam,11,pleas dont text anymor noth els
"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
",0,Non Spam,21,price long legal wen pick ave
"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",0,Non Spam,16,car buy drive test
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.
",0,Non Spam,36,wow didnt guess onc boston men chang search locat nyc someth chang cuz signin boston
"Umma my life and vava umma love you lot dear
",0,Non Spam,10,umma life vava umma love lot dear
"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
",0,Non Spam,17,lot birthday birthday truli memor
"Aight, I'll hit you up when I get some cash
",0,Non Spam,10,aight ill hit cash
"How would my ip address test that considering my computer isn't a minecraft server
",0,Non Spam,14,address test consid comput isnt minecraft server
"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
",0,Non Spam,24,grumpi peopl mom lie alway play joke
"Dont worry. I guess he's busy.
",0,Non Spam,6,dont worri guess busi
"What is the plural of the noun research?
",0,Non Spam,8,plural noun
"Going for dinner.msg you after.
",0,Non Spam,5,dinnermsg
"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
",0,Non Spam,24,wif <number> tri thing scare dun mah loud
"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
",1,Spam,27,gent tri contact weekend draw <cur><number> prize guarante <phone> claim code valid onli ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
",0,Non Spam,24,openin sentenc veri formal fine juz eatin puttin weighthaha anythin special happen
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
",0,Non Spam,32,enter cabin pa happi bday boss felt special askd <number> lunch lunch invit
"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
",1,Spam,27,winner special select <number> receiv <cur><number> <number> holiday flight speak live oper <number> claim pmin <number>+
"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
",0,Non Spam,12,goodo ye speak friday eggpotato ratio tortilla
"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
",0,Non Spam,15,hmmmi uncl inform pay school directli buy food
"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
",1,Spam,20,privat <number> account statement <phone> <number> unredeem bonu point claim <phone> identifi code <number> expir
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM
",1,Spam,26,urgent mobil award <cur><number> bonu caller prize <number><number><number> thi final tri contact landlin <phone> boxwrc ppm
"here is my new address -apples&pairs&all that malarky
",0,Non Spam,8,address applespairsal malarki
"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
",1,Spam,27,today voda number <number> select receiv <cur><number> award match pleas <phone> quot claim code <number> standard rate app
"I am going to sao mu today. Will be done only at 12 
",0,Non Spam,13,sao today onli <number>
"Ü predict wat time ü'll finish buying?
",0,Non Spam,7,predict wat time ull finish buy
"Good stuff, will do.
",0,Non Spam,4,good stuff
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.
",0,Non Spam,46,knowyetund money text bother send dont involv anyth shouldnt impos anyth place apologis
"Are you there in room.
",0,Non Spam,5,room
"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
",0,Non Spam,27,hey girl hope del bak long time sum time lucyxx
"K..k:)how much does it cost?
",0,Non Spam,5,kkhow doe cost
"I'm home.
",0,Non Spam,2,
"Dear, will call Tmorrow.pls accomodate.
",0,Non Spam,5,dear tmorrowpl accomod
"First answer my question.
",0,Non Spam,4,answer question
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
",1,Spam,25,sunshin quiz wkli win soni dvd player countri algarv txt ansr <number> <cur><number> sptyron
"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
",1,Spam,28,<number> laid tonight real dog locat direct <number> mob join largest dog network txting gravel <number> eca pmsgp
"I only haf msn. It's yijue@hotmail.com
",0,Non Spam,6,onli haf msn <email>
"He is there. You call and meet him
",0,Non Spam,8,meet
"No no. I will check all rooms befor activities
",0,Non Spam,9,check room befor activ
"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
",1,Spam,32,youll rcv ani msg chat svc free hardcor servic text <number> noth age verifi network tri
"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
",0,Non Spam,20,lazi type forgot lect pouch nice
"K, text me when you're on the way
",0,Non Spam,8,text
"Sir, Waiting for your mail.
",0,Non Spam,5,sir wait mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8
",0,Non Spam,26,swt thought nver tire littl thing <number> lovabl person cozsomtim littl thing occupi biggest heart gud
"I know you are. Can you pls open the back?
",0,Non Spam,10,open
"Yes see ya not on the dot
",0,Non Spam,7,ye ya dot
"Whats the staff name who is taking class for us?
",0,Non Spam,10,staff class
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end
",1,Spam,29,freemsg whi havent repli text randi sexi femal live local luv hear netcollex msg repli
"Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
",0,Non Spam,15,ummmawil check inour life qatar pray veri hard
"K..i deleted my contact that why?
",0,Non Spam,6,ki delet contact whi
"Sindu got job in birla soft ..
",0,Non Spam,7,sindu job birla soft
"The wine is flowing and i'm i have nevering..
",0,Non Spam,9,wine flow
"Yup i thk cine is better cos no need 2 go down 2 plaza mah.
",0,Non Spam,15,yup thk cine <number> <number> plaza mah
"Ok... Ur typical reply...
",0,Non Spam,4,typic repli
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.
",0,Non Spam,80,everywher dirt floor window shirt sometim open mouth flow dream half chore time joy lot ill guess thing exist rain hail mist time becom
"Aaooooright are you at work?
",0,Non Spam,5,aaooooright work
"I'm leaving my house now...
",0,Non Spam,5,leav hous
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?
",0,Non Spam,33,love interview today happi good boy mear
"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
",1,Spam,19,custom servic annonc year deliveri wait pleas <phone> arrang deliveri
"You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
",1,Spam,27,winner special select <number> receiv <cur><number> cash <number> holiday flight speak live oper <number> claim <number>
"Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
",0,Non Spam,24,safe becaus alreadi envi everyon real life
"New car and house for my parents.:)i have only new job in hand:)
",0,Non Spam,13,car hous parentsi onli job hand
"I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
",0,Non Spam,19,love excit day spend happi
"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
",1,Spam,24,bootydeli <number>f invit friend repli yes<number> no<number> <url> send frnd <number>
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
",1,Spam,30,bangbab order receiv servic msg <number> download content goto wap bangb mobil internetservic menu
"I place all ur points on e cultures module already.
",0,Non Spam,10,place point cultur modul alreadi
"URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
",1,Spam,27,urgent tri contact weekend draw <cur><number> prize guarante <phone> claim code valid onli
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?
",0,Non Spam,13,frnd avoid missunderstd wit belov
"Great escape. I fancy the bridge but needs her lager. See you tomo 
",0,Non Spam,13,great escap fanci bridg lager tomo
"Yes :)it completely in out of form:)clark also utter waste.
",0,Non Spam,10,ye complet formclark utter wast
"Sir, I need AXIS BANK account no and bank address.
",0,Non Spam,10,sir axi bank account bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... 
",0,Non Spam,20,hmmm thk time hop ard ya <number> free abt muz discuss liao
"What time you coming down later? 
",0,Non Spam,6,time
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... 
",0,Non Spam,21,bloodi hell believ forgot surnam ill clue spanish
"Well, i'm gonna finish my bath now. Have a good...fine night.
",0,Non Spam,11,gonna finish bath goodfin night
"Let me know when you've got the money so carlos can make the call
",0,Non Spam,14,youv money carlo
"U still going to the mall?
",0,Non Spam,6,mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
",0,Non Spam,30,turn friend stay ~ <> feel free ahead smoke <cur> <> worth
"Text her. If she doesnt reply let me know so i can have her log in
",0,Non Spam,16,text doesnt repli log
"Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
",0,Non Spam,25,spoke maneesha satisfi experi repli toll free ye
"You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
",0,Non Spam,31,lift hope offer money especi month approach hurt studi weekend
"Lol no. U can trust me.
",0,Non Spam,6,lol trust
"ok. I am a gentleman and will treat you with dignity and respect.
",0,Non Spam,13,gentleman treat digniti respect
"He will, you guys close?
",0,Non Spam,5,guy close
"Going on nothing great.bye
",0,Non Spam,4,noth greatby
"Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
",0,Non Spam,32,handsom job lazi work net mummi boytoy doe
"Haha awesome, be there in a minute
",0,Non Spam,7,haha awesom minut
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
",1,Spam,24,pleas custom servic repres freephon <phone> ampm guarante <cur><number> cash <cur><number> prize
"Have you got Xmas radio times. If not i will get it now
",0,Non Spam,13,xma radio time
"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
",0,Non Spam,19,reach bath net finish
"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
",1,Spam,10,uniqu august <url>
"I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
",0,Non Spam,38,sorri ive join leagu peopl dont touch great deal friend time great person cost great week|
"Hi :)finally i completed the course:)
",0,Non Spam,6,final complet cours
"It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
",0,Non Spam,22,howev stay someon abl everi stool
"How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
",0,Non Spam,19,hope youv settl school year wishin day
"Gud mrng dear hav a nice day
",0,Non Spam,7,gud mrng dear hav nice day
"Did u got that persons story
",0,Non Spam,6,person stori
"is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
",0,Non Spam,14,hamster dead hey tmr meet orchard mrt
"Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
",0,Non Spam,30,kate hope tomorrow bit bloodi babyjontet txt xxx
"Found it, ENC  &lt;#&gt; , where you at?
",0,Non Spam,8,enc <>
"I sent you  &lt;#&gt;  bucks
",0,Non Spam,5,<> buck
"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
",0,Non Spam,18,darlin ive finish colleg txt finish love kate xxx
"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
",0,Non Spam,26,account ha refil success inr <decimal> keralacircl prepaid account balanc <decimal> transact kr <>
"Goodmorning sleeping ga.
",0,Non Spam,3,goodmorn sleep
"U call me alter at 11 ok.
",0,Non Spam,7,alter <number>
"Ü say until like dat i dun buy ericsson oso cannot oredi lar...
",0,Non Spam,13,dat dun buy ericsson oso oredi lar
"Aight yo, dats straight dogg
",0,Non Spam,5,aight yo dat straight dogg
"You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
",0,Non Spam,13,pleas connect today befor <decimal> refund
"Both :) i shoot big loads so get ready!
",0,Non Spam,9,shoot big load readi
"What's up bruv, hope you had a great break. Do have a rewarding semester.
",0,Non Spam,14,bruv hope great break reward semest
"Home so we can always chat
",0,Non Spam,6,alway chat
"K:)k:)good:)study well.
",0,Non Spam,2,kkgoodstudi
"Yup... How ü noe leh...
",0,Non Spam,5,yup noe leh
"Sounds great! Are you home now?
",0,Non Spam,6,sound great
"Finally the match heading towards draw as your prediction.
",0,Non Spam,9,final match head draw predict
"Tired. I haven't slept well the past few nights.
",0,Non Spam,9,tire havent slept night
"Easy ah?sen got selected means its good..
",0,Non Spam,7,easi ahsen select good
"I have to take exam with march 3
",0,Non Spam,8,exam march <number>
"Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
",0,Non Spam,35,yeah gt atm regist readi
"Ok no prob. Take ur time.
",0,Non Spam,6,prob time
"There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
",0,Non Spam,30,ubandu instal hard diskyou copi import file repair shop
"U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
",0,Non Spam,26,leh cours noth happen lar romant bit onli lor thk nite sceneri nice leh
